,Ano,Mês,N de viagens,Media Kms,TOTAL KM,Preço combustivel,L/KM,Total combustivel,custo medio combustivel,Desgaste carro,Custo médio Total,Valor total,Pago,Diferença,carro L,Km,
0,2024,Julho,14,5.1,71.4,3.9,0.1428571429,39.78,2.841428571,35.7,3.341428571,75.48,50,-10.22,1,7,
1,2024,Agosto,43,5.918604651,254.5,3.65,0.1428571429,132.7035714,3.086129568,127.25,3.586129568,259.9535714,150,-17.29642857,1,10.5,
2,2024,Setembro,52,5.336538462,277.5,3.8,0.1428571429,150.6428571,2.896978022,138.75,3.396978022,289.3928571,,,,,
3,2024,Outubro,39,5.8,226.2,3.7,0.1428571429,119.5628571,3.065714286,113.1,3.565714286,232.6628571,,,,,
4,2024,Novembro,3,6.9,20.7,3.7,0.1428571429,10.94142857,3.647142857,10.35,4.147142857,21.29142857,,,,,
5,2024,Dezembro,49,4.532653061,222.1,3.7,0.1428571429,117.3957143,2.395830904,111.05,2.895830904,228.4457143,,,,,
6,2025,Janeiro,19,6.584210526,125.1,4.19,0.1428571429,74.88128571,,62.55,,137.4312857,,,,,
7,2025,Fevereiro,5,7.54,37.7,4.19,0.1428571429,22.56614286,,18.85,,41.41614286,,,,,
8,2025,Março,,,,,,,,0,,0,,,,,
9,2025,Abril,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,
